CTE|ELT86964.1	K05030
CTE|ELT93503.1	K06560
CTE|ELT93508.1	K06560
CTE|ELT93509.1	K03899
CTE|ELT93512.1	K13701
CTE|ELT93515.1	K21912
CTE|ELT93527.1	K01025
CTE|ELT93531.1	K06580
CTE|ELT93532.1	K03128
CTE|ELT93533.1	K01307
CTE|ELT93540.1	K03104
CTE|ELT93541.1	K10684
CTE|ELT93542.1	K03348
CTE|ELT93544.1	K17770
CTE|ELT93545.1	K22928
CTE|ELT93547.1	K10586
CTE|ELT93548.1	K10798
CTE|ELT93550.1	K17260
CTE|ELT93551.1	K11964
CTE|ELT93552.1	K04512
CTE|ELT93562.1	K14766
CTE|ELT93563.1	K06210
CTE|ELT93565.1	K12880
CTE|ELT93572.1	K14411
CTE|ELT93574.1	K19384
CTE|ELT93577.1	K08707
CTE|ELT93579.1	K10640
CTE|ELT93583.1	K22868
CTE|ELT93584.1	K13699
CTE|ELT93587.1	K14445
CTE|ELT93588.1	K20007
CTE|ELT93590.1	K18123
CTE|ELT93592.1	K18123
CTE|ELT93595.1	K15075
CTE|ELT93597.1	K08836
CTE|ELT93598.1	K09668
CTE|ELT93601.1	K12373
CTE|ELT93603.1	K08754
CTE|ELT93606.1	K10592
CTE|ELT93607.1	K14445
CTE|ELT93609.1	K21917
CTE|ELT93611.1	K10588
CTE|ELT93612.1	K01136
CTE|ELT93617.1	K09114
CTE|ELT93618.1	K15223
CTE|ELT93619.1	K02147
CTE|ELT93620.1	K19938
CTE|ELT93627.1	K13912
CTE|ELT93628.1	K09057
CTE|ELT93630.1	K09593
CTE|ELT93632.1	K08582
CTE|ELT93636.1	K18709
CTE|ELT93640.1	K07750
CTE|ELT93641.1	K02151
CTE|ELT93643.1	K04628
CTE|ELT93650.1	K04233
CTE|ELT93653.1	K11672
CTE|ELT93654.1	K00699
CTE|ELT93655.1	K04628
CTE|ELT93656.1	K18695
CTE|ELT93657.1	K11315
CTE|ELT93658.1	K14398
CTE|ELT93659.1	K14398
CTE|ELT93663.1	K08789
CTE|ELT93671.1	K06550
CTE|ELT93674.1	K01054
CTE|ELT93675.1	K11416
CTE|ELT93677.1	K01034
CTE|ELT93678.1	K00140
CTE|ELT93682.1	K00558
CTE|ELT93683.1	K03248
CTE|ELT93685.1	K12302
CTE|ELT93687.1	K08399
CTE|ELT93692.1	K18631
CTE|ELT93696.1	K00753
CTE|ELT93697.1	K20989
CTE|ELT93698.1	K05856
CTE|ELT93699.1	K13763
CTE|ELT93701.1	K16056
CTE|ELT93702.1	K10276
CTE|ELT93703.1	K00905
CTE|ELT93716.1	K12348
CTE|ELT93720.1	K01116
CTE|ELT93721.1	K04280
CTE|ELT93722.1	K08106
CTE|ELT93724.1	K13499
CTE|ELT93726.1	K12479
CTE|ELT93727.1	K05200
CTE|ELT93732.1	K00927
CTE|ELT93733.1	K00615
CTE|ELT93734.1	K03654
CTE|ELT93737.1	K04300
CTE|ELT93738.1	K09210
CTE|ELT93741.1	K15503
CTE|ELT93745.1	K09228
CTE|ELT93757.1	K09219
CTE|ELT93758.1	K13044
CTE|ELT93759.1	K22378
CTE|ELT93760.1	K16750
CTE|ELT93761.1	K11251
CTE|ELT93762.1	K03165
CTE|ELT93764.1	K11253
CTE|ELT93767.1	K11373
CTE|ELT93769.1	K07297
CTE|ELT93770.1	K09435
CTE|ELT93773.1	K15029
CTE|ELT93775.1	K15262
CTE|ELT93776.1	K08860
CTE|ELT93785.1	K13912
CTE|ELT93786.1	K14464
CTE|ELT93795.1	K00734
CTE|ELT93805.1	K00734
CTE|ELT93806.1	K01076
CTE|ELT93811.1	K12176
CTE|ELT93812.1	K11792
CTE|ELT93817.1	K18277
CTE|ELT93852.1	K08375
CTE|ELT93855.1	K00925
CTE|ELT93856.1	K13788
CTE|ELT93857.1	K15633
CTE|ELT93862.1	K17201
CTE|ELT93863.1	K16495
CTE|ELT93867.1	K20099
CTE|ELT93871.1	K15183
CTE|ELT93872.1	K09495
CTE|ELT93876.1	K04153
CTE|ELT93877.1	K15290
CTE|ELT93878.1	K19874
CTE|ELT93879.1	K19404
CTE|ELT93883.1	K01135
CTE|ELT93884.1	K01135
CTE|ELT93889.1	K16914
CTE|ELT93892.1	K02599
CTE|ELT93893.1	K12567
CTE|ELT93895.1	K16061
CTE|ELT93902.1	K08765
CTE|ELT93904.1	K17920
CTE|ELT93905.1	K02149
CTE|ELT93907.1	K10413
CTE|ELT93916.1	K05038
CTE|ELT93920.1	K07422
CTE|ELT93921.1	K01077
CTE|ELT93923.1	K17816
CTE|ELT93924.1	K07376
CTE|ELT93925.1	K11141
CTE|ELT93930.1	K05766
CTE|ELT93931.1	K00771
CTE|ELT93932.1	K00771
CTE|ELT93937.1	K02183
CTE|ELT93938.1	K07378
CTE|ELT93939.1	K00884
CTE|ELT93941.1	K11997
CTE|ELT93942.1	K11997
CTE|ELT93943.1	K04824
CTE|ELT93947.1	K12323
CTE|ELT93948.1	K21912
CTE|ELT93950.1	K09250
CTE|ELT93954.1	K17495
CTE|ELT93955.1	K02599
CTE|ELT93959.1	K17346
CTE|ELT93961.1	K17529
CTE|ELT93962.1	K11124
CTE|ELT93964.1	K18622
CTE|ELT93967.1	K10609
CTE|ELT93971.1	K13124
CTE|ELT93973.1	K13862
CTE|ELT93980.1	K01738
CTE|ELT93981.1	K14841
CTE|ELT93984.1	K18595
CTE|ELT93986.1	K00728
CTE|ELT93988.1	K00025
CTE|ELT93989.1	K10779
CTE|ELT93990.1	K12581
CTE|ELT93993.1	K19671
CTE|ELT93994.1	K10461
CTE|ELT93995.1	K04233
CTE|ELT93996.1	K11654
CTE|ELT94005.1	K12581
CTE|ELT94006.1	K07966
CTE|ELT94010.1	K04968
CTE|ELT94012.1	K10104
CTE|ELT94013.1	K02599
CTE|ELT94015.1	K10475
CTE|ELT94017.1	K19366
CTE|ELT94020.1	K06084
CTE|ELT94022.1	K09228
CTE|ELT94023.1	K00927
CTE|ELT94024.1	K21027
CTE|ELT94025.1	K09228
CTE|ELT94028.1	K18400
CTE|ELT94029.1	K09275
CTE|ELT94032.1	K06560
CTE|ELT94033.1	K16461
CTE|ELT94037.1	K15101
CTE|ELT94039.1	K07050
CTE|ELT94045.1	K21245
CTE|ELT94047.1	K12586
CTE|ELT94048.1	K00729
CTE|ELT94049.1	K14210
CTE|ELT94050.1	K19531
CTE|ELT94055.1	K16670
CTE|ELT94057.1	K02218
CTE|ELT94059.1	K16061
CTE|ELT94060.1	K10078
CTE|ELT94063.1	K20404
CTE|ELT94064.1	K20839
CTE|ELT94065.1	K20839
CTE|ELT94066.1	K00222
CTE|ELT94068.1	K15615
CTE|ELT94076.1	K01495
CTE|ELT94077.1	K10606
CTE|ELT94078.1	K16781
CTE|ELT94079.1	K15791
CTE|ELT94081.1	K12301
CTE|ELT94082.1	K19655
CTE|ELT94084.1	K17491
CTE|ELT94086.1	K14210
CTE|ELT94092.1	K09492
CTE|ELT94095.1	K22615
CTE|ELT94099.1	K11412
CTE|ELT94100.1	K01870
CTE|ELT94101.1	K04134
CTE|ELT94102.1	K01870
CTE|ELT94104.1	K16506
CTE|ELT94105.1	K16506
CTE|ELT94106.1	K09385
CTE|ELT94107.1	K06129
CTE|ELT94108.1	K09385
CTE|ELT94109.1	K20281
CTE|ELT94114.1	K03331
CTE|ELT94115.1	K02158
CTE|ELT94118.1	K11517
CTE|ELT94120.1	K20289
CTE|ELT94128.1	K20721
CTE|ELT94130.1	K07390
CTE|ELT94132.1	K07375
CTE|ELT94133.1	K07375
CTE|ELT94134.1	K07375
CTE|ELT94135.1	K07375
CTE|ELT94136.1	K07375
CTE|ELT94137.1	K07375
CTE|ELT94139.1	K21893
CTE|ELT94141.1	K09341
CTE|ELT94143.1	K00799
CTE|ELT94144.1	K00799
CTE|ELT94145.1	K04286
CTE|ELT94146.1	K20967
CTE|ELT94147.1	K17095
CTE|ELT94148.1	K17095
CTE|ELT94155.1	K20193
CTE|ELT94176.1	K11984
CTE|ELT94177.1	K11162
CTE|ELT94178.1	K11153
CTE|ELT94181.1	K00710
CTE|ELT94183.1	K14400
CTE|ELT94186.1	K14572
CTE|ELT94187.1	K10457
CTE|ELT94190.1	K07819
CTE|ELT94192.1	K07819
CTE|ELT94193.1	K19672
CTE|ELT94194.1	K13237
CTE|ELT94195.1	K09276
CTE|ELT94196.1	K00512
CTE|ELT94199.1	K19398
CTE|ELT94206.1	K04165
CTE|ELT94207.1	K01557
CTE|ELT94208.1	K00248
CTE|ELT94209.1	K15171
CTE|ELT94210.1	K22421
CTE|ELT94212.1	K10594
CTE|ELT94216.1	K01069
CTE|ELT94217.1	K04267
CTE|ELT94219.1	K09228
CTE|ELT94226.1	K20051
CTE|ELT94227.1	K14342
CTE|ELT94228.1	K10443
CTE|ELT94233.1	K05126
CTE|ELT94235.1	K02432
CTE|ELT94237.1	K01890
CTE|ELT94238.1	K16185
CTE|ELT94240.1	K01897
CTE|ELT94241.1	K04277
CTE|ELT94243.1	K14209
CTE|ELT94246.1	K11996
CTE|ELT94250.1	K00214
CTE|ELT94268.1	K06530
CTE|ELT94275.1	K16498
CTE|ELT94276.1	K16498
CTE|ELT94279.1	K10226
CTE|ELT94281.1	K19511
CTE|ELT94282.1	K11420
CTE|ELT94285.1	K01593
CTE|ELT94286.1	K10646
CTE|ELT94288.1	K05766
CTE|ELT94289.1	K04559
CTE|ELT94290.1	K20308
CTE|ELT94291.1	K07964
CTE|ELT94292.1	K09220
CTE|ELT94293.1	K01613
CTE|ELT94294.1	K07912
CTE|ELT94296.1	K03029
CTE|ELT94297.1	K01081
CTE|ELT94298.1	K12757
CTE|ELT94302.1	K02295
CTE|ELT94304.1	K02232
CTE|ELT94305.1	K03651
CTE|ELT94307.1	K03028
CTE|ELT94308.1	K01563
CTE|ELT94309.1	K01563
CTE|ELT94314.1	K01057
CTE|ELT94315.1	K05125
CTE|ELT94319.1	K15259
CTE|ELT94327.1	K07364
CTE|ELT94328.1	K08824
CTE|ELT94330.1	K14788
CTE|ELT94338.1	K04615
CTE|ELT94340.1	K10299
CTE|ELT94341.1	K17597
CTE|ELT94342.1	K15734
CTE|ELT94343.1	K02937
CTE|ELT94344.1	K06691
CTE|ELT94348.1	K20824
CTE|ELT94350.1	K03372
CTE|ELT94351.1	K19501
CTE|ELT94352.1	K07565
CTE|ELT94355.1	K15348
CTE|ELT94357.1	K15216
CTE|ELT94358.1	K01363
CTE|ELT94360.1	K10638
CTE|ELT94362.1	K16639
CTE|ELT94364.1	K21952
CTE|ELT94366.1	K19720
CTE|ELT94367.1	K01136
CTE|ELT94368.1	K00699
CTE|ELT94370.1	K11253
CTE|ELT94371.1	K22872
CTE|ELT94373.1	K01022
CTE|ELT94374.1	K08496
CTE|ELT94375.1	K00665
CTE|ELT94379.1	K07914
CTE|ELT94383.1	K02599
CTE|ELT94384.1	K02599
CTE|ELT94385.1	K06052
CTE|ELT94386.1	K17495
CTE|ELT94387.1	K06958
CTE|ELT94388.1	K11189
CTE|ELT94389.1	K06213
CTE|ELT94390.1	K01245
CTE|ELT94395.1	K03323
CTE|ELT94397.1	K22401
CTE|ELT94403.1	K02184
CTE|ELT94407.1	K22815
CTE|ELT94412.1	K06252
CTE|ELT94416.1	K05692
CTE|ELT94418.1	K04373
CTE|ELT94425.1	K12602
CTE|ELT94427.1	K04219
CTE|ELT94432.1	K13348
CTE|ELT94433.1	K03123
CTE|ELT94434.1	K01154
CTE|ELT94436.1	K08033
CTE|ELT94437.1	K14616
CTE|ELT94438.1	K20465
CTE|ELT94441.1	K05030
CTE|ELT94443.1	K04316
CTE|ELT94444.1	K14313
CTE|ELT94446.1	K20649
CTE|ELT94447.1	K20649
CTE|ELT94448.1	K05349
CTE|ELT94450.1	K12374
CTE|ELT94451.1	K05349
CTE|ELT94452.1	K05349
CTE|ELT94456.1	K06062
CTE|ELT94457.1	K18728
CTE|ELT94459.1	K01487
CTE|ELT94461.1	K00710
CTE|ELT94469.1	K10159
CTE|ELT94472.1	K04266
CTE|ELT94478.1	K11097
CTE|ELT94479.1	K09214
CTE|ELT94484.1	K00753
CTE|ELT94489.1	K03691
CTE|ELT94491.1	K05312
CTE|ELT94495.1	K04354
CTE|ELT94503.1	K16753
CTE|ELT94506.1	K04151
CTE|ELT94507.1	K17353
CTE|ELT94510.1	K08856
CTE|ELT94511.1	K11459
CTE|ELT94516.1	K11858
CTE|ELT94518.1	K00215
CTE|ELT94521.1	K00415
CTE|ELT94523.1	K07874
CTE|ELT94527.1	K10159
CTE|ELT94528.1	K00976
CTE|ELT94533.1	K14026
CTE|ELT94534.1	K13443
CTE|ELT94535.1	K09324
CTE|ELT94537.1	K11884
CTE|ELT94538.1	K11304
CTE|ELT94539.1	K03025
CTE|ELT94540.1	K13254
CTE|ELT94547.1	K02916
CTE|ELT94555.1	K01755
CTE|ELT94556.1	K10390
CTE|ELT94557.1	K14564
CTE|ELT94558.1	K11470
CTE|ELT94559.1	K12259
CTE|ELT94560.1	K03008
CTE|ELT94561.1	K00026
CTE|ELT94562.1	K18047
CTE|ELT94564.1	K13708
CTE|ELT94567.1	K05728
CTE|ELT94568.1	K05728
CTE|ELT94569.1	K18467
CTE|ELT94572.1	K12026
CTE|ELT94573.1	K20777
CTE|ELT94578.1	K21893
CTE|ELT94579.1	K03434
CTE|ELT94580.1	K00753
CTE|ELT94581.1	K12657
CTE|ELT94584.1	K10380
CTE|ELT94585.1	K08328
CTE|ELT94586.1	K15014
CTE|ELT94588.1	K09634
CTE|ELT94594.1	K00167
CTE|ELT94595.1	K00685
CTE|ELT94599.1	K22940
CTE|ELT94600.1	K01345
CTE|ELT94601.1	K07819
CTE|ELT94602.1	K01889
CTE|ELT94603.1	K00252
CTE|ELT94605.1	K12860
CTE|ELT94606.1	K10366
CTE|ELT94608.1	K02725
CTE|ELT94614.1	K22037
CTE|ELT94615.1	K16524
CTE|ELT94618.1	K11539
CTE|ELT94620.1	K09022
CTE|ELT94621.1	K15166
CTE|ELT94623.1	K04144
CTE|ELT94626.1	K15156
CTE|ELT94627.1	K19676
CTE|ELT94630.1	K11427
CTE|ELT94631.1	K03021
CTE|ELT94634.1	K16771
CTE|ELT94637.1	K13963
CTE|ELT94638.1	K20780
CTE|ELT94642.1	K09568
CTE|ELT94644.1	K13111
CTE|ELT94651.1	K10104
CTE|ELT94653.1	K00788
CTE|ELT94654.1	K01845
CTE|ELT94655.1	K06168
CTE|ELT94656.1	K21752
CTE|ELT94658.1	K10404
CTE|ELT94659.1	K10404
CTE|ELT94663.1	K17972
CTE|ELT94665.1	K17972
CTE|ELT94667.1	K12869
CTE|ELT94668.1	K13119
CTE|ELT94669.1	K03063
CTE|ELT94670.1	K19365
CTE|ELT94671.1	K05287
CTE|ELT94672.1	K13514
CTE|ELT94680.1	K19919
CTE|ELT94681.1	K05357
CTE|ELT94682.1	K14779
CTE|ELT94684.1	K14389
CTE|ELT94700.1	K07374
CTE|ELT94701.1	K17495
CTE|ELT94703.1	K07379
CTE|ELT94705.1	K17495
CTE|ELT94721.1	K17495
CTE|ELT94722.1	K17495
CTE|ELT94724.1	K17495
CTE|ELT94726.1	K21407
CTE|ELT94727.1	K04437
CTE|ELT94733.1	K12388
CTE|ELT94734.1	K00079
CTE|ELT94736.1	K10129
CTE|ELT94739.1	K17920
CTE|ELT94741.1	K04975
CTE|ELT94742.1	K01870
CTE|ELT94745.1	K11491
CTE|ELT94746.1	K13983
CTE|ELT94758.1	K00237
CTE|ELT94759.1	K16316
CTE|ELT94760.1	K21434
CTE|ELT94761.1	K09372
CTE|ELT94770.1	K00142
CTE|ELT94780.1	K06560
CTE|ELT94781.1	K06560
CTE|ELT94782.1	K17199
CTE|ELT94783.1	K12362
CTE|ELT94785.1	K07966
CTE|ELT94789.1	K01025
CTE|ELT94795.1	K06532
CTE|ELT94798.1	K19985
CTE|ELT94799.1	K17495
CTE|ELT94803.1	K13479
CTE|ELT94808.1	K10609
CTE|ELT94809.1	K14328
CTE|ELT94817.1	K15289
CTE|ELT94819.1	K18152
CTE|ELT94821.1	K21912
CTE|ELT94826.1	K12035
CTE|ELT94827.1	K15296
CTE|ELT94834.1	K09880
CTE|ELT94835.1	K10407
CTE|ELT94836.1	K03262
CTE|ELT94837.1	K05038
CTE|ELT94839.1	K20409
CTE|ELT94841.1	K18586
CTE|ELT94842.1	K17808
CTE|ELT94843.1	K14530
CTE|ELT94844.1	K13084
CTE|ELT94847.1	K18643
CTE|ELT94849.1	K11481
CTE|ELT94850.1	K09228
CTE|ELT94851.1	K00311
CTE|ELT94854.1	K16759
CTE|ELT94855.1	K16759
CTE|ELT94856.1	K06816
CTE|ELT94861.1	K07847
CTE|ELT94865.1	K14611
CTE|ELT94870.1	K14309
CTE|ELT94875.1	K01915
CTE|ELT94879.1	K14620
CTE|ELT94881.1	K01432
CTE|ELT94886.1	K07513
CTE|ELT94889.1	K00102
CTE|ELT94890.1	K08956
CTE|ELT94894.1	K11512
CTE|ELT94898.1	K14616
CTE|ELT94899.1	K06240
CTE|ELT94902.1	K04205
CTE|ELT94903.1	K11723
CTE|ELT94911.1	K04266
CTE|ELT94914.1	K17427
CTE|ELT94920.1	K07916
CTE|ELT94921.1	K04150
CTE|ELT94927.1	K15503
CTE|ELT94930.1	K13706
CTE|ELT94932.1	K04539
CTE|ELT94933.1	K01265
CTE|ELT94938.1	K14464
CTE|ELT94942.1	K05656
CTE|ELT94943.1	K20822
CTE|ELT94944.1	K03910
CTE|ELT94945.1	K08202
CTE|ELT94946.1	K06640
CTE|ELT94947.1	K10335
CTE|ELT94948.1	K03402
CTE|ELT94950.1	K01270
CTE|ELT94954.1	K17925
CTE|ELT94958.1	K05312
CTE|ELT94959.1	K04805
CTE|ELT94962.1	K00274
CTE|ELT94965.1	K03392
CTE|ELT94966.1	K14859
CTE|ELT94968.1	K01136
CTE|ELT94969.1	K01206
CTE|ELT94975.1	K01206
CTE|ELT94977.1	K00036
CTE|ELT94978.1	K20360
CTE|ELT94980.1	K04715
CTE|ELT94981.1	K03927
CTE|ELT94982.1	K14962
CTE|ELT94983.1	K17503
CTE|ELT94986.1	K11673
CTE|ELT94990.1	K04615
CTE|ELT94991.1	K17293
CTE|ELT94994.1	K01022
CTE|ELT94995.1	K18808
CTE|ELT94996.1	K01022
CTE|ELT94997.1	K18808
CTE|ELT95001.1	K11428
CTE|ELT95006.1	K12816
CTE|ELT95008.1	K04285
CTE|ELT95009.1	K09866
CTE|ELT95012.1	K09881
CTE|ELT95013.1	K09881
CTE|ELT95014.1	K22564
CTE|ELT95015.1	K03968
CTE|ELT95016.1	K14696
CTE|ELT95019.1	K12669
CTE|ELT95021.1	K12572
CTE|ELT95033.1	K20304
CTE|ELT95034.1	K02956
CTE|ELT95037.1	K01135
CTE|ELT95038.1	K08869
CTE|ELT95039.1	K13196
CTE|ELT95041.1	K10104
CTE|ELT95045.1	K02950
CTE|ELT95046.1	K15110
CTE|ELT95047.1	K17429
CTE|ELT95052.1	K03193
CTE|ELT95053.1	K05692
CTE|ELT95060.1	K07422
CTE|ELT95064.1	K03104
CTE|ELT95066.1	K22382
CTE|ELT95068.1	K15376
CTE|ELT95069.1	K05858
CTE|ELT95070.1	K08493
CTE|ELT95072.1	K03099
CTE|ELT95074.1	K14458
CTE|ELT95075.1	K17548
CTE|ELT95078.1	K04837
CTE|ELT95080.1	K20796
CTE|ELT95084.1	K15440
CTE|ELT95086.1	K04534
CTE|ELT95087.1	K20656
CTE|ELT95089.1	K00933
CTE|ELT95090.1	K09866
CTE|ELT95091.1	K11147
CTE|ELT95098.1	K01425
CTE|ELT95101.1	K02183
CTE|ELT95103.1	K16682
CTE|ELT95104.1	K12197
CTE|ELT95105.1	K04134
CTE|ELT95106.1	K17595
CTE|ELT95109.1	K12668
CTE|ELT95112.1	K13145
CTE|ELT95114.1	K01273
CTE|ELT95115.1	K13289
CTE|ELT95120.1	K04144
CTE|ELT95121.1	K05194
CTE|ELT95122.1	K01810
CTE|ELT95124.1	K04725
CTE|ELT95125.1	K01025
CTE|ELT95133.1	K07379
CTE|ELT95134.1	K08155
CTE|ELT95139.1	K03943
CTE|ELT95141.1	K11147
CTE|ELT95143.1	K04151
CTE|ELT95146.1	K11254
CTE|ELT95147.1	K11251
CTE|ELT95148.1	K11252
CTE|ELT95149.1	K11275
CTE|ELT95150.1	K05051
CTE|ELT95151.1	K06252
CTE|ELT95158.1	K10380
CTE|ELT95167.1	K02159
CTE|ELT95171.1	K00857
CTE|ELT95172.1	K01520
CTE|ELT95176.1	K10624
CTE|ELT95181.1	K10653
CTE|ELT95187.1	K03174
CTE|ELT95196.1	K17086
CTE|ELT95206.1	K08967
CTE|ELT95208.1	K13403
CTE|ELT95211.1	K12374
CTE|ELT95217.1	K04157
CTE|ELT95218.1	K04157
CTE|ELT95219.1	K11501
CTE|ELT95220.1	K15170
CTE|ELT95221.1	K02599
CTE|ELT95224.1	K04398
CTE|ELT95225.1	K04398
CTE|ELT95230.1	K01017
CTE|ELT95241.1	K08843
CTE|ELT95243.1	K08843
CTE|ELT95247.1	K11590
CTE|ELT95252.1	K17916
CTE|ELT95253.1	K04975
CTE|ELT95254.1	K22197
CTE|ELT95255.1	K07753
CTE|ELT95256.1	K18177
CTE|ELT95261.1	K00688
CTE|ELT95262.1	K14832
CTE|ELT95264.1	K14832
CTE|ELT95265.1	K11995
CTE|ELT95266.1	K17608
CTE|ELT95268.1	K20804
CTE|ELT95269.1	K18669
CTE|ELT95270.1	K21775
CTE|ELT95273.1	K22453
CTE|ELT95277.1	K06839
CTE|ELT95279.1	K04811
CTE|ELT95280.1	K04811
CTE|ELT95283.1	K11997
CTE|ELT95284.1	K11848
CTE|ELT95289.1	K14998
CTE|ELT95292.1	K09228
CTE|ELT95304.1	K17341
CTE|ELT95306.1	K01362
CTE|ELT95310.1	K05051
CTE|ELT95312.1	K20840
CTE|ELT95314.1	K06628
CTE|ELT95315.1	K14016
CTE|ELT95316.1	K11293
CTE|ELT95325.1	K01217
CTE|ELT95330.1	K08874
CTE|ELT95334.1	K15332
CTE|ELT95335.1	K15306
CTE|ELT95343.1	K11253
CTE|ELT95349.1	K09328
CTE|ELT95351.1	K07305
CTE|ELT95352.1	K12181
CTE|ELT95354.1	K00699
CTE|ELT95355.1	K03902
CTE|ELT95358.1	K03209
CTE|ELT95359.1	K01357
CTE|ELT95360.1	K01064
CTE|ELT95362.1	K19583
CTE|ELT95365.1	K16462
CTE|ELT95367.1	K01626
CTE|ELT95368.1	K13590
CTE|ELT95370.1	K01256
CTE|ELT95371.1	K01256
CTE|ELT95372.1	K06193
CTE|ELT95373.1	K15293
CTE|ELT95379.1	K10470
CTE|ELT95387.1	K22754
CTE|ELT95390.1	K22070
CTE|ELT95391.1	K11147
CTE|ELT95392.1	K18754
CTE|ELT95393.1	K18754
CTE|ELT95395.1	K10812
CTE|ELT95397.1	K02990
CTE|ELT95398.1	K15432
CTE|ELT95400.1	K10398
CTE|ELT95402.1	K06631
CTE|ELT95404.1	K02649
CTE|ELT95406.1	K00522
CTE|ELT95411.1	K01099
CTE|ELT95414.1	K02884
CTE|ELT95415.1	K16312
CTE|ELT95418.1	K11653
CTE|ELT95419.1	K11653
CTE|ELT95420.1	K16474
CTE|ELT95421.1	K01262
CTE|ELT95422.1	K05692
CTE|ELT95424.1	K17885
CTE|ELT95426.1	K19761
CTE|ELT95429.1	K14407
CTE|ELT95430.1	K22138
CTE|ELT95432.1	K04501
CTE|ELT95433.1	K11579
CTE|ELT95434.1	K02930
CTE|ELT95435.1	K17285
CTE|ELT95437.1	K11136
CTE|ELT95443.1	K09502
CTE|ELT95444.1	K16765
CTE|ELT95447.1	K10395
CTE|ELT95450.1	K22818
CTE|ELT95454.1	K14715
CTE|ELT95455.1	K02983
CTE|ELT95456.1	K10667
CTE|ELT95457.1	K08798
CTE|ELT95458.1	K08077
CTE|ELT95460.1	K01277
CTE|ELT95463.1	K00140
CTE|ELT95466.1	K07560
CTE|ELT95469.1	K01011
CTE|ELT95470.1	K13288
CTE|ELT95474.1	K13984
CTE|ELT95476.1	K02942
CTE|ELT95478.1	K13148
CTE|ELT95479.1	K13758
CTE|ELT95480.1	K13342
CTE|ELT95484.1	K16458
CTE|ELT95485.1	K02311
CTE|ELT95486.1	K16777
CTE|ELT95487.1	K17681
CTE|ELT95488.1	K04412
CTE|ELT95489.1	K16639
CTE|ELT95492.1	K01625
CTE|ELT95493.1	K03313
CTE|ELT95495.1	K01703
CTE|ELT95497.1	K14821
CTE|ELT95499.1	K19876
CTE|ELT95502.1	K20776
CTE|ELT95504.1	K13525
CTE|ELT95505.1	K06225
CTE|ELT95506.1	K01392
CTE|ELT95508.1	K13697
CTE|ELT95511.1	K19511
CTE|ELT95513.1	K17341
CTE|ELT95514.1	K19511
CTE|ELT95516.1	K03182
CTE|ELT95517.1	K00705
CTE|ELT95519.1	K14574
CTE|ELT95520.1	K09228
CTE|ELT95522.1	K10600
CTE|ELT95524.1	K10421
CTE|ELT95530.1	K18419
CTE|ELT95532.1	K20346
CTE|ELT95533.1	K19608
CTE|ELT95536.1	K02183
CTE|ELT95541.1	K07952
CTE|ELT95542.1	K01007
CTE|ELT95543.1	K09773
CTE|ELT95549.1	K02599
CTE|ELT95550.1	K12047
CTE|ELT95553.1	K10088
CTE|ELT95558.1	K07448
CTE|ELT95559.1	K11393
CTE|ELT95564.1	K00901
CTE|ELT95568.1	K14165
CTE|ELT95569.1	K11971
CTE|ELT95570.1	K07512
CTE|ELT95572.1	K19906
CTE|ELT95573.1	K16087
CTE|ELT95574.1	K03561
CTE|ELT95575.1	K00923
CTE|ELT95577.1	K18033
CTE|ELT95579.1	K10443
CTE|ELT95580.1	K05236
CTE|ELT95583.1	K13127
CTE|ELT95586.1	K09671
CTE|ELT95588.1	K05691
CTE|ELT95590.1	K09680
CTE|ELT95592.1	K00753
CTE|ELT95593.1	K09680
CTE|ELT95596.1	K04828
CTE|ELT95600.1	K04266
CTE|ELT95601.1	K00162
CTE|ELT95602.1	K00162
CTE|ELT95603.1	K15102
CTE|ELT95604.1	K15102
CTE|ELT95606.1	K21343
CTE|ELT95607.1	K21596
CTE|ELT95608.1	K09659
CTE|ELT95609.1	K15279
CTE|ELT95611.1	K21872
CTE|ELT95612.1	K10873
CTE|ELT95614.1	K12959
CTE|ELT95616.1	K00537
CTE|ELT95619.1	K12160
CTE|ELT95620.1	K14354
CTE|ELT95623.1	K00512
CTE|ELT95633.1	K22970
CTE|ELT95634.1	K03513
CTE|ELT95637.1	K03513
CTE|ELT95638.1	K00274
CTE|ELT95639.1	K17790
CTE|ELT95640.1	K01613
CTE|ELT95646.1	K02599
CTE|ELT95647.1	K00615
CTE|ELT95649.1	K13131
CTE|ELT95650.1	K14157
CTE|ELT95654.1	K19473
CTE|ELT95656.1	K06757
CTE|ELT95657.1	K11418
CTE|ELT95659.1	K15261
CTE|ELT95660.1	K10462
CTE|ELT95665.1	K04153
CTE|ELT95667.1	K04365
CTE|ELT95674.1	K13719
CTE|ELT95676.1	K09515
CTE|ELT95677.1	K11793
CTE|ELT95678.1	K18156
CTE|ELT95681.1	K01365
CTE|ELT95687.1	K14389
CTE|ELT95692.1	K15161
CTE|ELT95693.1	K06947
CTE|ELT95696.1	K14570
CTE|ELT95700.1	K09409
CTE|ELT95704.1	K04958
CTE|ELT95711.1	K13130
CTE|ELT95712.1	K03737
CTE|ELT95713.1	K22909
CTE|ELT95723.1	K00486
CTE|ELT95731.1	K09250
CTE|ELT95732.1	K18808
CTE|ELT95733.1	K08679
CTE|ELT95734.1	K04459
CTE|ELT95736.1	K04600
CTE|ELT95737.1	K20195
CTE|ELT95739.1	K01251
CTE|ELT95745.1	K04231
CTE|ELT95752.1	K02558
CTE|ELT95756.1	K03256
